loan_status,Principal,terms,paid_off_time_hours,paid_off_time_datename,past_due_days,age,education,Gender,Due_Date_Day,paid_off_time_month,Due_Date_Month,paid_off_time_days,Effective_date_Month,Effective_date_Day,Repayment_Time
PAIDOFF,800,15,20:33,Saturday,0,46,High School or Below,female,Sunday,September,September,13,September,Sunday,14
PAIDOFF,800,15,09:00,Sunday,0,34,college,female,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,7,09:00,Saturday,0,32,Bechalor,female,Saturday,September,September,6,September,Sunday,6
PAIDOFF,800,15,00:12,Saturday,0,38,High School or Below,male,Sunday,September,September,13,September,Sunday,14
PAIDOFF,800,15,12:43,Wednesday,0,27,High School or Below,male,Sunday,September,September,10,September,Sunday,14
PAIDOFF,1000,30,13:00:00,Monday,0,33,High School or Below,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,20:49:00,Saturday,0,36,college,male,Monday,October,October,27,September,Sunday,29
PAIDOFF,1000,15,05:38,Tuesday,0,26,High School or Below,male,Sunday,September,September,9,September,Sunday,14
PAIDOFF,1000,30,09:01:00,Monday,0,34,college,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,09:01:00,Monday,0,22,High School or Below,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,16:55:00,Saturday,0,31,Bechalor,female,Monday,October,October,27,September,Sunday,29
PAIDOFF,1000,7,09:00,Saturday,0,29,High School or Below,male,Saturday,September,September,6,September,Sunday,6
PAIDOFF,800,15,09:00,Sunday,0,38,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,16:00:00,Monday,0,30,college,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,15,23:48,Sunday,0,45,High School or Below,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,15,13:15,Thursday,0,35,college,male,Sunday,September,September,11,September,Sunday,14
PAIDOFF,1000,30,13:31,Friday,0,30,college,male,Monday,September,October,12,September,Sunday,29
PAIDOFF,1000,30,17:19:00,Saturday,0,31,High School or Below,male,Monday,October,October,27,September,Sunday,29
PAIDOFF,1000,30,09:01:00,Monday,0,31,High School or Below,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,13:05:00,Sunday,0,28,college,male,Monday,October,October,28,September,Sunday,29
PAIDOFF,1000,7,13:00,Saturday,0,29,college,male,Saturday,September,September,13,September,Sunday,13
PAIDOFF,800,15,20:47,Tuesday,0,29,college,male,Sunday,September,September,9,September,Sunday,14
PAIDOFF,1000,30,09:00:00,Wednesday,0,27,college,female,Wednesday,November,November,59,September,Sunday,59
PAIDOFF,1000,30,09:01:00,Monday,0,27,college,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,13:01:00,Monday,0,33,college,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,21:39:00,Saturday,0,28,college,male,Monday,October,October,27,September,Sunday,29
PAIDOFF,1000,15,23:00,Sunday,0,25,High School or Below,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,14:23:00,Friday,0,40,college,male,Monday,October,October,26,September,Sunday,29
PAIDOFF,1000,30,15:25:00,Thursday,0,23,High School or Below,male,Monday,October,October,25,September,Sunday,29
PAIDOFF,1000,30,06:56:00,Saturday,0,35,Bechalor,male,Monday,October,October,27,September,Sunday,29
PAIDOFF,800,15,11:58,Friday,0,24,college,male,Sunday,September,September,5,September,Sunday,14
PAIDOFF,1000,30,16:01:00,Monday,0,34,college,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,07:02,Tuesday,0,22,High School or Below,male,Monday,September,October,16,September,Sunday,29
PAIDOFF,1000,15,09:00,Tuesday,0,20,college,male,Tuesday,October,October,44,September,Sunday,44
PAIDOFF,1000,15,11:02,Saturday,0,23,college,male,Sunday,September,September,13,September,Sunday,14
PAIDOFF,1000,30,18:57,Thursday,0,33,college,male,Monday,September,October,18,September,Sunday,29
PAIDOFF,1000,30,13:01:00,Monday,0,26,college,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,15,09:00,Sunday,0,28,High School or Below,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,800,15,12:24,Sunday,0,43,High School or Below,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,15,13:00,Sunday,0,34,Bechalor,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,04:41,Monday,0,38,Bechalor,male,Monday,September,October,15,September,Sunday,29
PAIDOFF,1000,15,15:44,Thursday,0,26,High School or Below,male,Sunday,September,September,11,September,Sunday,14
PAIDOFF,800,15,16:00,Sunday,0,43,High School or Below,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,30,16:13:00,Monday,0,26,High School or Below,male,Monday,October,October,29,September,Sunday,29
PAIDOFF,1000,30,07:12,Friday,0,33,college,female,Monday,September,October,19,September,Sunday,29
PAIDOFF,800,15,11:26,Friday,0,24,college,male,Sunday,September,September,12,September,Sunday,14
PAIDOFF,1000,30,10:26:00,Monday,0,30,High School or Below,male,Monday,September,October,1,September,Sunday,29
PAIDOFF,800,15,13:00,Sunday,0,32,High School or Below,female,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,15,09:00,Tuesday,0,22,college,male,Tuesday,October,October,44,September,Sunday,44
PAIDOFF,1000,15,21:45,Thursday,0,47,High School or Below,male,Sunday,September,September,11,September,Sunday,14
PAIDOFF,1000,30,20:28:00,Sunday,0,20,High School or Below,male,Monday,October,October,28,September,Sunday,29
PAIDOFF,1000,30,16:48:00,Saturday,0,28,High School or Below,male,Monday,October,October,20,September,Sunday,29
PAIDOFF,800,15,09:01,Sunday,0,35,college,male,Sunday,September,September,14,September,Sunday,14
PAIDOFF,1000,7,20:36,Thursday,0,27,High School or Below,male,Saturday,September,September,4,September,Sunday,6
PAIDOFF,800,15,15:33,Wednesday,0,33,college,female,Sunday,September,September,10,September,Sunday,14
PAIDOFF,1000,30,13:36,Thursday,0,30,High School or Below,male,Monday,September,October,18,September,Sunday,29
PAIDOFF,1000,15,20:51,Thursday,0,31,college,male,Sunday,September,September,11,September,Sunday,14
PAIDOFF,1000,30,23:00:00,Wednesday,0,26,college,female,Wednesday,November,November,59,September,Sunday,59
PAIDOFF,300,7,09:00,Sunday,0,37,Master or Above,male,Sunday,September,September,6,September,Monday,6
PAIDOFF,1000,15,09:00,Monday,0,26,Bechalor,male,Monday,September,September,14,September,Monday,14
PAIDOFF,800,15,10:14,Saturday,0,35,Bechalor,male,Monday,September,September,12,September,Monday,14
PAIDOFF,1000,15,09:00,Wednesday,0,29,college,male,Wednesday,October,October,44,September,Monday,44
PAIDOFF,800,15,20:30,Friday,0,23,college,male,Monday,September,September,11,September,Monday,14
PAIDOFF,500,15,20:17,Tuesday,0,23,college,female,Monday,September,September,1,September,Monday,14
PAIDOFF,1000,15,09:00,Monday,0,30,college,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,07:01:00,Monday,0,34,college,male,Tuesday,October,October,28,September,Monday,29
PAIDOFF,1000,30,13:00:00,Tuesday,0,36,High School or Below,female,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,09:00,Monday,0,26,Bechalor,male,Monday,September,September,14,September,Monday,14
PAIDOFF,800,15,14:55,Saturday,0,29,High School or Below,male,Monday,September,September,12,September,Monday,14
PAIDOFF,1000,15,09:00,Monday,0,28,college,female,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,20:56,Sunday,0,27,High School or Below,male,Tuesday,September,October,13,September,Monday,29
PAIDOFF,1000,15,10:49,Thursday,0,24,High School or Below,male,Monday,September,September,10,September,Monday,14
PAIDOFF,800,15,22:09,Sunday,0,31,Bechalor,male,Monday,September,September,13,September,Monday,14
PAIDOFF,1000,30,09:00:00,Tuesday,0,28,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,09:00,Monday,0,27,college,female,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,15,19:33,Monday,0,25,High School or Below,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,16:00:00,Thursday,0,24,High School or Below,male,Thursday,November,November,59,September,Monday,59
PAIDOFF,1000,30,16:00:00,Tuesday,0,28,college,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,800,30,16:00:00,Tuesday,0,28,college,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,13:00,Monday,0,35,High School or Below,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,13:00:00,Tuesday,0,38,college,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,16:00,Monday,0,38,High School or Below,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,16:00:00,Tuesday,0,29,college,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,800,15,13:00,Monday,0,35,High School or Below,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,07:39,Saturday,0,24,college,male,Tuesday,September,October,5,September,Monday,29
PAIDOFF,800,15,10:30,Thursday,0,39,High School or Below,male,Monday,September,September,10,September,Monday,14
PAIDOFF,800,15,13:00,Monday,0,25,college,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,16:00:00,Tuesday,0,38,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,30,20:41:00,Monday,0,30,college,male,Tuesday,October,October,28,September,Monday,29
PAIDOFF,1000,30,09:00:00,Tuesday,0,21,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,30,08:04:00,Monday,0,46,college,male,Tuesday,October,October,28,September,Monday,29
PAIDOFF,1000,15,11:00,Saturday,0,31,High School or Below,female,Monday,September,September,12,September,Monday,14
PAIDOFF,300,7,09:25,Saturday,0,29,High School or Below,male,Sunday,September,September,5,September,Monday,6
PAIDOFF,1000,30,11:53:00,Friday,0,35,High School or Below,male,Tuesday,October,October,25,September,Monday,29
PAIDOFF,800,15,08:39,Sunday,0,30,High School or Below,male,Monday,September,September,13,September,Monday,14
PAIDOFF,1000,30,09:00:00,Tuesday,0,27,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,30,20:28:00,Monday,0,31,High School or Below,female,Tuesday,October,October,28,September,Monday,29
PAIDOFF,1000,30,10:18:00,Saturday,0,33,Bechalor,male,Tuesday,October,October,19,September,Monday,29
PAIDOFF,1000,15,16:00,Monday,0,34,High School or Below,male,Monday,September,September,14,September,Monday,14
PAIDOFF,800,15,21:07,Monday,0,28,college,male,Monday,September,September,7,September,Monday,14
PAIDOFF,800,15,09:00,Monday,0,42,college,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,14:38,Friday,0,32,college,male,Tuesday,September,October,18,September,Monday,29
PAIDOFF,1000,30,13:00:00,Tuesday,0,30,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,20:31,Wednesday,0,25,High School or Below,female,Monday,September,September,2,September,Monday,14
PAIDOFF,1000,30,09:00:00,Tuesday,0,27,High School or Below,female,Tuesday,October,October,29,September,Monday,29
PAIDOFF,800,15,16:15,Saturday,0,21,college,male,Monday,September,September,12,September,Monday,14
PAIDOFF,1000,30,15:49:00,Monday,0,24,college,male,Tuesday,October,October,28,September,Monday,29
PAIDOFF,1000,30,13:00:00,Thursday,0,29,college,male,Thursday,November,November,59,September,Monday,59
PAIDOFF,1000,15,10:32,Friday,0,40,college,male,Monday,September,September,11,September,Monday,14
PAIDOFF,1000,30,14:03,Friday,0,29,High School or Below,male,Tuesday,September,October,18,September,Monday,29
PAIDOFF,1000,30,14:17:00,Sunday,0,29,college,male,Tuesday,October,October,27,September,Monday,29
PAIDOFF,1000,15,08:26,Tuesday,0,30,college,male,Monday,September,September,8,September,Monday,14
PAIDOFF,1000,30,23:00:00,Tuesday,0,26,High School or Below,female,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,20:47,Saturday,0,36,High School or Below,male,Monday,September,September,12,September,Monday,14
PAIDOFF,800,15,16:00,Monday,0,27,college,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,09:01:00,Tuesday,0,20,college,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,7,14:52,Friday,0,26,Bechalor,female,Sunday,September,September,4,September,Monday,6
PAIDOFF,1000,30,13:00:00,Thursday,0,26,college,male,Thursday,November,November,59,September,Monday,59
PAIDOFF,1000,30,10:00:00,Sunday,0,27,college,male,Tuesday,October,October,27,September,Monday,29
PAIDOFF,300,7,14:40:00,Monday,0,23,High School or Below,male,Sunday,September,September,0,September,Monday,6
PAIDOFF,1000,30,16:00:00,Tuesday,0,39,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,21:58,Friday,0,27,High School or Below,male,Monday,September,September,11,September,Monday,14
PAIDOFF,1000,30,18:48:00,Saturday,0,30,High School or Below,male,Tuesday,October,October,26,September,Monday,29
PAIDOFF,1000,30,16:41:00,Monday,0,33,High School or Below,female,Tuesday,October,October,28,September,Monday,29
PAIDOFF,1000,30,13:01:00,Tuesday,0,27,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,30,02:34,Friday,0,35,High School or Below,male,Tuesday,September,October,4,September,Monday,29
PAIDOFF,1000,30,16:00:00,Thursday,0,29,college,female,Thursday,November,November,59,September,Monday,59
PAIDOFF,1000,15,08:11,Wednesday,0,50,High School or Below,male,Monday,September,September,9,September,Monday,14
PAIDOFF,800,15,09:00,Monday,0,31,High School or Below,female,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,15,13:00,Monday,0,31,High School or Below,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,13:01:00,Tuesday,0,29,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,23:00,Monday,0,35,college,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,09:01:00,Tuesday,0,39,college,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,30,13:00:00,Thursday,0,29,college,male,Thursday,November,November,59,September,Monday,59
PAIDOFF,1000,15,23:00,Monday,0,30,High School or Below,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,10:00:00,Sunday,0,33,Bechalor,male,Tuesday,October,October,27,September,Monday,29
PAIDOFF,1000,30,13:01:00,Tuesday,0,26,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,14:01,Friday,0,25,High School or Below,male,Monday,September,September,11,September,Monday,14
PAIDOFF,800,15,13:29,Sunday,0,37,Bechalor,male,Monday,September,September,13,September,Monday,14
PAIDOFF,800,15,14:50,Sunday,0,26,High School or Below,male,Monday,September,September,13,September,Monday,14
PAIDOFF,800,15,09:00,Monday,0,26,college,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,15,09:00,Wednesday,0,27,college,male,Wednesday,October,October,44,September,Monday,44
PAIDOFF,1000,7,09:01,Sunday,0,34,college,female,Sunday,September,September,13,September,Monday,13
PAIDOFF,1000,30,15:35:00,Saturday,0,37,college,male,Tuesday,October,October,26,September,Monday,29
PAIDOFF,1000,30,16:01:00,Tuesday,0,36,High School or Below,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,800,15,19:35,Monday,0,33,High School or Below,male,Monday,September,September,14,September,Monday,14
PAIDOFF,1000,30,21:28:00,Sunday,0,30,High School or Below,male,Tuesday,October,October,27,September,Monday,29
PAIDOFF,1000,30,16:45:00,Friday,0,30,college,male,Tuesday,October,October,25,September,Monday,29
PAIDOFF,800,15,12:13,Saturday,0,36,High School or Below,male,Monday,September,September,12,September,Monday,14
PAIDOFF,1000,15,09:01:00,Tuesday,0,29,college,male,Tuesday,October,October,29,September,Monday,29
PAIDOFF,1000,15,23:02,Wednesday,0,36,High School or Below,male,Monday,September,September,2,September,Monday,14
PAIDOFF,1000,30,11:03:00,Saturday,0,32,High School or Below,male,Tuesday,October,October,26,September,Monday,29
PAIDOFF,1000,15,09:00,Monday,0,29,High School or Below,female,Monday,September,September,14,September,Monday,14
PAIDOFF,800,15,23:00,Monday,0,36,Bechalor,male,Monday,September,September,14,September,Monday,14
PAIDOFF,800,15,19:31,Sunday,0,30,High School or Below,female,Monday,September,September,13,September,Monday,14
PAIDOFF,1000,7,19:48,Wednesday,0,31,college,male,Monday,September,September,1,September,Tuesday,6
PAIDOFF,1000,30,23:00:00,Wednesday,0,19,High School or Below,female,Wednesday,October,October,29,September,Tuesday,29
PAIDOFF,800,15,12:48,Sunday,0,26,college,male,Tuesday,September,September,12,September,Tuesday,14
PAIDOFF,800,15,21:18,Monday,0,34,High School or Below,male,Tuesday,September,September,13,September,Tuesday,14
PAIDOFF,1000,30,10:22:00,Friday,0,35,High School or Below,male,Wednesday,October,October,24,September,Tuesday,29
PAIDOFF,1000,15,06:17,Monday,0,35,Bechalor,female,Tuesday,September,September,13,September,Tuesday,14
PAIDOFF,800,15,16:57,Thursday,0,38,college,male,Tuesday,September,September,9,September,Tuesday,14
PAIDOFF,1000,30,21:57:00,Sunday,0,29,college,male,Wednesday,October,October,26,September,Tuesday,29
PAIDOFF,1000,30,12:59:00,Tuesday,0,28,High School or Below,male,Wednesday,October,October,21,September,Tuesday,29
PAIDOFF,500,7,20:51,Saturday,0,22,High School or Below,male,Monday,September,September,4,September,Tuesday,6
PAIDOFF,1000,30,23:00:00,Wednesday,0,32,college,male,Wednesday,October,October,29,September,Tuesday,29
PAIDOFF,1000,30,15:51:00,Saturday,0,31,college,male,Wednesday,October,October,25,September,Tuesday,29
PAIDOFF,800,15,09:00,Tuesday,0,28,college,male,Tuesday,September,September,14,September,Tuesday,14
PAIDOFF,1000,15,09:00,Tuesday,0,37,college,female,Tuesday,September,September,14,September,Tuesday,14
PAIDOFF,1000,7,15:57,Friday,0,25,college,male,Monday,September,September,3,September,Tuesday,6
PAIDOFF,1000,30,09:00:00,Wednesday,0,19,High School or Below,male,Wednesday,October,October,29,September,Tuesday,29
PAIDOFF,800,15,07:48,Monday,0,51,college,male,Tuesday,September,September,13,September,Tuesday,14
PAIDOFF,1000,15,16:53,Wednesday,0,29,High School or Below,male,Tuesday,September,September,8,September,Tuesday,14
PAIDOFF,800,30,00:29:00,Tuesday,0,23,college,female,Wednesday,October,October,28,September,Tuesday,29
PAIDOFF,1000,15,10:37,Sunday,0,30,High School or Below,male,Tuesday,September,September,12,September,Tuesday,14
